1. How common is this phenomenon in your subfield today?,1. How common is this phenomenon in psychological science in general today?,"1. If this occurs, how harmful is this phenomenon for psychological science?  ",2. How common is this phenomenon in your subfield today?,2. How common is this phenomenon in psychological science in general today?,"2. If this occurs, how harmful is this phenomenon for psychological science?  ",3. How common is this phenomenon in your subfield today?,3. How common is this phenomenon in psychological science in general today?,"3. If this occurs, how harmful is this phenomenon for psychological science?  ",4. How common is this phenomenon in your subfield today?,4. How common is this phenomenon in psychological science in general today?,"4. If this occurs, how harmful is this phenomenon for psychological science?  ",5. How common is this phenomenon in your subfield today?,5. How common is this phenomenon in psychological science in general today?,"5. If this occurs, how harmful is this phenomenon for psychological science?  ",6. How common is this phenomenon in your subfield today?,6. How common is this phenomenon in psychological science in general today?,"6. If this occurs, how harmful is this phenomenon for psychological science?  ",7. How common is this phenomenon in your subfield today?,7. How common is this phenomenon in psychological science in general today?,"7. If this occurs, how harmful is this phenomenon for psychological science?  ",8. How common is this phenomenon in your subfield today?,8. How common is this phenomenon in psychological science in general today?,"8. If this occurs, how harmful is this phenomenon for psychological science?  ",9. How common is this phenomenon in your subfield today?,9. How common is this phenomenon in psychological science in general today?,"9. If this occurs, how harmful is this phenomenon for psychological science?  ",How common is this phenomenon in your subfield today?,10. How common is this phenomenon in psychological science in general today?,"10. If this occurs, how harmful is this phenomenon for psychological science?  ",11. How common is this phenomenon in your subfield today?,11. How common is this phenomenon in psychological science in general today?,"11. If this occurs, how harmful is this phenomenon for psychological science?  ",12. How common is this phenomenon in your subfield today?,12. How common is this phenomenon in psychological science in general today?,"12. If this occurs, how harmful is this phenomenon for psychological science?  ",13. How common is this phenomenon in your subfield today?,13. How common is this phenomenon in psychological science in general today?,"13. If this occurs, how harmful is this phenomenon for psychological science?  ",1. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"1. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",2. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"2. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",3. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"3. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",4. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"4. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",5. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"5. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  "
2.0,2.0,1.0,3.0,2.0,1.0,6.0,6.0,3.0,4.0,3.0,4.0,6.0,3.0,4.0,4.0,3.0,1.0,7.0,7.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,7.0,7.0,3.0,4.0,2.0,2.0,7.0,7.0,6.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,5.0,5.0,3.0,3.0,6.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,5.0,4.0,5.0,5.0,6.0,6.0,7.0,4.0
7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,6.0,2.0,2.0,4.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0
6.0,4.0,6.0,2.0,5.0,7.0,2.0,3.0,7.0,4.0,5.0,7.0,2.0,6.0,6.0,3.0,4.0,6.0,5.0,7.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,6.0,6.0,6.0,7.0,3.0,6.0,7.0,6.0,6.0,5.0,4.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,2.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
7.0,7.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,2.0,4.0,5.0,7.0,7.0,7.0,4.0,4.0,7.0,6.0,2.0,3.0,6.0,5.0,2.0,3.0
6.0,7.0,4.0,7.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,7.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,2.0,7.0,7.0,3.0,3.0,3.0,4.0,6.0,7.0
3.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,6.0,4.0,6.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,5.0,3.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0
6.0,6.0,5.0,7.0,7.0,7.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,6.0,6.0,6.0,7.0,6.0,2.0,6.0,6.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,2.0,1.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,2.0
3.0,7.0,7.0,2.0,7.0,7.0,2.0,7.0,7.0,1.0,6.0,6.0,2.0,7.0,7.0,2.0,7.0,5.0,2.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,3.0,6.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0
7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,4.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0
6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0
7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,2.0,7.0,7.0,6.0,5.0,4.0,7.0,7.0,7.0,5.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,4.0,2.0,7.0,7.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0
6.0,,6.0,7.0,7.0,4.0,3.0,3.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,6.0,6.0,7.0,6.0,5.0,7.0,4.0,4.0,4.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,4.0,7.0,3.0
6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,2.0,4.0,4.0,5.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,7.0,7.0,7.0
5.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,2.0,3.0,4.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0
5.0,4.0,6.0,3.0,4.0,6.0,4.0,4.0,4.0,2.0,3.0,7.0,4.0,5.0,5.0,5.0,3.0,6.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,6.0,5.0,3.0,6.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0
6.0,5.0,3.0,5.0,6.0,3.0,7.0,7.0,4.0,3.0,3.0,2.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,6.0,7.0,4.0,7.0,7.0
7.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0
6.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0
7.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,7.0,7.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0
4.0,5.0,6.0,3.0,4.0,7.0,2.0,5.0,6.0,5.0,7.0,7.0,2.0,6.0,7.0,2.0,6.0,7.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,3.0,6.0,4.0,5.0,5.0,6.0,7.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0
7.0,7.0,3.0,2.0,4.0,2.0,7.0,7.0,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,7.0,7.0,7.0,7.0,6.0,7.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,6.0,6.0,2.0,1.0,1.0,1.0
5.0,6.0,5.0,7.0,5.0,5.0,3.0,5.0,5.0,7.0,5.0,6.0,6.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,1.0,7.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,4.0,4.0,7.0,7.0,6.0,7.0,6.0,4.0,4.0,7.0,3.0,7.0,6.0,3.0,5.0,7.0,7.0,7.0,3.0
5.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,4.0,5.0,6.0,6.0,7.0,7.0,2.0,5.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,6.0,7.0,7.0,7.0,5.0,3.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,3.0,3.0
4.0,4.0,4.0,2.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,6.0,6.0,5.0,7.0,6.0,3.0,6.0,6.0,2.0,6.0,6.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,6.0,6.0,5.0,5.0,5.0,6.0,3.0,2.0,6.0,6.0,4.0,4.0
