Timestamp,"Do you currently work as a psychological scientist (i.e., conduct psychological research or teach psychology/psychological science at a university or research institute)? ",What is your highest completed university-level education in psychology/psychological science? ,Which option best describes the subfield you currently work in most of the time?,1. How common is this phenomenon in your subfield today?,1. How common is this phenomenon in psychological science in general today?,"1. If this occurs, how harmful is this phenomenon for psychological science?  ",2. How common is this phenomenon in your subfield today?,2. How common is this phenomenon in psychological science in general today?,"2. If this occurs, how harmful is this phenomenon for psychological science?  ",3. How common is this phenomenon in your subfield today?,3. How common is this phenomenon in psychological science in general today?,"3. If this occurs, how harmful is this phenomenon for psychological science?  ",4. How common is this phenomenon in your subfield today?,4. How common is this phenomenon in psychological science in general today?,"4. If this occurs, how harmful is this phenomenon for psychological science?  ",5. How common is this phenomenon in your subfield today?,5. How common is this phenomenon in psychological science in general today?,"5. If this occurs, how harmful is this phenomenon for psychological science?  ",6. How common is this phenomenon in your subfield today?,6. How common is this phenomenon in psychological science in general today?,"6. If this occurs, how harmful is this phenomenon for psychological science?  ",7. How common is this phenomenon in your subfield today?,7. How common is this phenomenon in psychological science in general today?,"7. If this occurs, how harmful is this phenomenon for psychological science?  ",8. How common is this phenomenon in your subfield today?,8. How common is this phenomenon in psychological science in general today?,"8. If this occurs, how harmful is this phenomenon for psychological science?  ",9. How common is this phenomenon in your subfield today?,9. How common is this phenomenon in psychological science in general today?,"9. If this occurs, how harmful is this phenomenon for psychological science?  ",How common is this phenomenon in your subfield today?,10. How common is this phenomenon in psychological science in general today?,"10. If this occurs, how harmful is this phenomenon for psychological science?  ",11. How common is this phenomenon in your subfield today?,11. How common is this phenomenon in psychological science in general today?,"11. If this occurs, how harmful is this phenomenon for psychological science?  ",12. How common is this phenomenon in your subfield today?,12. How common is this phenomenon in psychological science in general today?,"12. If this occurs, how harmful is this phenomenon for psychological science?  ",13. How common is this phenomenon in your subfield today?,13. How common is this phenomenon in psychological science in general today?,"13. If this occurs, how harmful is this phenomenon for psychological science?  ",1. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"1. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",2. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"2. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",3. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"3. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",4. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"4. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ",5. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"5. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  "
3/12/2026 17:39:55,"Yes, primarily",Psychology PhD or equivalent,Biological psychology,2.0,7.0,7.0,2.0,7.0,7.0,3.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,6.0,2.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0,2.0
3/17/2026 16:09:22,"Yes, partly",Psychology PhD or equivalent,Clinical psychology / mental health,6.0,5.0,6.0,7.0,5.0,7.0,5.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0
3/17/2026 16:11:23,"Yes, primarily",Psychology MA/MSc or equivalent,Cognitive psychology / cognitive science,5.0,7.0,5.0,3.0,7.0,6.0,3.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,2.0,7.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0
3/17/2026 16:15:01,"Yes, partly","Degree in another field, but psychology minor/substantial coursework",Behavioral medicine,5.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0,5.0,4.0
3/17/2026 16:34:17,No,"Degree in another field, but psychology minor/substantial coursework",General / multidisciplinary,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,4.0,7.0,6.0,4.0,4.0,2.0,2.0
3/17/2026 17:07:08,"Yes, primarily",Psychology PhD or equivalent,Clinical psychology / mental health,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0
3/17/2026 17:36:04,"Yes, primarily",Psychology PhD or equivalent,General / multidisciplinary,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,7.0,5.0,5.0,1.0,4.0,4.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0
3/17/2026 18:29:30,"Yes, primarily",Psychology PhD or equivalent,Social psychology,7.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,4.0,3.0,3.0,4.0,5.0,5.0,6.0,3.0,3.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,4.0,6.0,6.0
3/17/2026 20:09:30,"Yes, primarily",Psychology PhD or equivalent,Social psychology,7.0,7.0,5.0,4.0,4.0,4.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,6.0,4.0,5.0,4.0,6.0,4.0,5.0,5.0
3/17/2026 20:54:07,"Yes, primarily",Psychology MA/MSc or equivalent,Cognitive psychology / cognitive science,5.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,7.0,6.0,6.0,6.0,3.0,3.0,5.0,5.0,4.0,4.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,4.0
3/17/2026 20:54:47,No,Specialized as GZ-psycholoog,Clinical psychology / mental health,2.0,6.0,5.0,7.0,6.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,7.0,6.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0
3/17/2026 22:45:34,"Yes, primarily",Psychology PhD or equivalent,Psychometrics / quantitative methods and statistics,2.0,7.0,5.0,2.0,7.0,6.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,1.0,6.0,4.0,7.0,4.0,7.0,2.0,5.0,7.0,,6.0,5.0,7.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,7.0,7.0,7.0,7.0,3.0,3.0,7.0,7.0,5.0,5.0
3/18/2026 0:00:28,"Yes, primarily",Psychology PhD or equivalent,Cognitive psychology / cognitive science,2.0,2.0,1.0,3.0,2.0,1.0,6.0,6.0,3.0,4.0,3.0,4.0,6.0,3.0,4.0,4.0,3.0,1.0,7.0,7.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,7.0,7.0,3.0,4.0,2.0,2.0,7.0,7.0,6.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,5.0,5.0,3.0,3.0,6.0,4.0
3/18/2026 3:05:20,"Yes, primarily",Psychology PhD or equivalent,Clinical psychology / mental health,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,5.0,4.0,5.0,5.0,6.0,6.0,7.0,4.0
3/18/2026 8:12:51,"Yes, partly",Psychology PhD or equivalent,Cognitive psychology / cognitive science,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,6.0,2.0,2.0,4.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0
3/18/2026 8:29:40,No,No university-level psychology education,computational neuroscience,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0
3/18/2026 9:03:50,"Yes, primarily",Psychology MA/MSc or equivalent,Cognitive psychology / cognitive science,6.0,4.0,6.0,2.0,5.0,7.0,2.0,3.0,7.0,4.0,5.0,7.0,2.0,6.0,6.0,3.0,4.0,6.0,5.0,7.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,6.0,6.0,6.0,7.0,3.0,6.0,7.0,6.0,6.0,5.0,4.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
3/18/2026 9:16:14,"Yes, primarily",Psychology PhD or equivalent,Cognitive psychology / cognitive science,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,2.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
3/18/2026 10:02:03,"Yes, primarily",Psychology PhD or equivalent,Biological psychology,7.0,7.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,2.0,4.0,5.0,7.0,7.0,7.0,4.0,4.0,7.0,6.0,2.0,3.0,6.0,5.0,2.0,3.0
3/18/2026 10:22:19,"Yes, primarily",Psychology PhD or equivalent,Developmental psychology,6.0,7.0,4.0,7.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,7.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,2.0,7.0,7.0,3.0,3.0,3.0,4.0,6.0,7.0
3/18/2026 12:07:39,"Yes, primarily",Psychology MA/MSc or equivalent,Cognitive psychology / cognitive science,3.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,6.0,4.0,6.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,5.0,3.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0
3/18/2026 14:16:05,No,Psychology MA/MSc or equivalent,Psychometrics / quantitative methods and statistics,6.0,6.0,5.0,7.0,7.0,7.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,6.0,6.0,6.0,7.0,6.0,2.0,6.0,6.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,2.0,1.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,2.0
3/18/2026 14:38:02,"Yes, primarily",Psychology PhD or equivalent,Evolutionary Psychology,3.0,7.0,7.0,2.0,7.0,7.0,2.0,7.0,7.0,1.0,6.0,6.0,2.0,7.0,7.0,2.0,7.0,5.0,2.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
3/18/2026 16:09:20,"Yes, primarily",Psychology PhD or equivalent,General / multidisciplinary,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,3.0,6.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
3/18/2026 22:02:24,"Yes, primarily",Psychology PhD or equivalent,Personality / individual differences,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0
3/19/2026 8:32:30,"Yes, primarily",Psychology PhD or equivalent,Cognitive psychology / cognitive science,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,4.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0
3/19/2026 11:47:22,"Yes, primarily",Psychology PhD or equivalent,General / multidisciplinary,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0
3/19/2026 13:18:56,"Yes, primarily",Psychology MA/MSc or equivalent,Clinical psychology / mental health,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0
3/20/2026 2:09:54,"Yes, primarily",Psychology PhD or equivalent,Organizational psychology,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,2.0,7.0,7.0,6.0,5.0,4.0,7.0,7.0,7.0,5.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,4.0,2.0,7.0,7.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0
3/21/2026 2:55:46,"Yes, partly",Psychology PhD or equivalent,Developmental psychology,6.0,,6.0,7.0,7.0,4.0,3.0,3.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,6.0,6.0,7.0,6.0,5.0,7.0,4.0,4.0,4.0,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,4.0,7.0,3.0
3/21/2026 18:36:54,No,Psychology MA/MSc or equivalent,Clinical psychology / mental health,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,2.0,4.0,4.0,5.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,7.0,7.0,7.0
3/23/2026 10:18:44,"Yes, primarily",Psychology PhD or equivalent,General / multidisciplinary,5.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,2.0,3.0,4.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0
3/25/2026 0:22:29,No,Psychology PhD or equivalent,Psychometrics / quantitative methods and statistics,5.0,4.0,6.0,3.0,4.0,6.0,4.0,4.0,4.0,2.0,3.0,7.0,4.0,5.0,5.0,5.0,3.0,6.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,6.0,5.0,3.0,6.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0
3/26/2026 7:48:48,"Yes, primarily",Psychology MA/MSc or equivalent,Social psychology,6.0,5.0,3.0,5.0,6.0,3.0,7.0,7.0,4.0,3.0,3.0,2.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,6.0,7.0,4.0,7.0,7.0
3/26/2026 14:45:01,"Yes, primarily",Psychology PhD or equivalent,Social psychology,7.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0
3/26/2026 15:20:05,"Yes, primarily",Psychology PhD or equivalent,Cognitive psychology / cognitive science,6.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0
3/26/2026 15:42:58,"Yes, primarily",Psychology PhD or equivalent,Social psychology,7.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,7.0,7.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0
